Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.,
NBF2,9.27,-1.7,9.59,9.27,9.59,855,,,
NBF3,9.18,3.15,9.18,8.90,9.00,"34,886",,,
NBL,283.10,-0.84,288.00,283.10,284.00,"42,981",,,
NBLD82,"1,116.19",1.99,"1,116.19","1,105.00","1,105.00",85,,,
NBLD85,"1,029.00",-0.96,"1,029.00","1,029.00","1,029.00",25,,,
NESDO,"2,270.00",0.89,"2,274.00","2,233.00","2,250.00",301,,,
NFS,"1,421.90",-8.26,"1,519.00","1,395.00","1,519.00","252,277",,,
NGPL,474.00,0.85,479.00,462.00,478.00,"158,323",,,
NHDL,605.00,0.17,616.00,593.30,616.00,"4,784",,,
NHPC,224.20,-1.19,228.00,224.10,225.00,"65,989",,,
NIBD2082,"1,127.00",1.35,"1,127.00","1,119.00","1,119.00",730,,,
NIBD84,"1,040.00",0,"1,040.00","1,040.00","1,040.00",25,,,
NIBLGF,9.00,2.27,9.00,8.80,8.80,"1,340",,,
NIBLSTF,8.96,0.11,9.12,8.95,8.95,"1,500",,,
NIBSF2,8.79,3.29,8.79,8.29,8.35,"3,600",,,
NICA,440.00,-0.9,447.00,439.00,445.00,"63,545",,,
NICAD8283,"1,188.20",1.99,"1,188.20","1,188.20","1,188.20",15,,,
NICAD85/86,"1,125.00",5.52,"1,125.00","1,119.00","1,119.00",50,,,
NICBF,9.60,4.58,9.60,9.36,9.36,"18,000",,,
NICD83/84,"1,063.00",0.09,"1,063.00","1,063.00","1,063.00",25,,,
NICFC,9.08,0,9.08,8.90,8.90,"3,575",,,
NICGF,10.90,1.21,10.90,10.60,10.70,"11,050",,,
NICGF2,8.99,1.01,9.15,8.81,8.81,"3,700",,,
NICL,"1,028.70",-0.32,"1,052.00","1,019.00","1,052.00","12,137",,,
NICLBSL,727.00,0.83,730.00,711.30,720.00,"1,902",,,
NICSF,10.10,0,10.27,9.34,10.27,"151,565",,,
NIFRA,274.90,0.18,276.90,273.00,273.00,"78,195",,,
NIL,940.00,0.32,950.00,938.00,941.00,"15,453",,,
NIMB,233.40,0.09,239.50,230.60,233.40,"67,276",,,
NIMBPO,172.00,-1.6,175.60,172.00,172.20,"25,451",,,
NLG,"1,330.00",-1.66,"1,379.40","1,330.00","1,379.40","47,376",,,
NLIC,829.00,-0.71,840.00,825.00,831.00,"16,535",,,
NLICL,620.00,0.16,630.00,617.10,617.10,"9,313",,,
NMB,259.50,0.58,262.00,258.00,262.00,"32,442",,,
NMB50,10.34,-1.9,10.48,10.34,10.48,"8,545",,,
NMBMF,712.00,-0.41,724.00,712.00,713.00,"1,510",,,
NMFBS,"1,442.90",1.11,"1,448.00","1,428.00","1,428.10",497,,,
NMLBBL,778.00,-0.26,795.60,766.10,795.60,"6,297",,,
NRIC,794.00,-0.13,805.00,791.00,795.00,"16,643",,,
NRM,447.00,-0.45,452.90,442.20,442.20,"16,592",,,
NRN,905.00,-0.21,907.00,893.00,907.00,"16,261",,,
NSIF2,10.70,3.08,10.70,10.22,10.22,"59,775",,,
NTC,989.00,-0.1,"1,001.00",977.10,977.10,"12,051",,,
NUBL,725.00,-0.68,733.90,715.40,733.90,"9,009",,,
NWCL,"1,000.00",-1.38,"1,010.00",998.00,"1,001.00","2,195",,,
NYADI,317.00,0,320.00,306.20,317.00,"11,415",,,
OHL,948.00,-0.73,964.00,935.90,964.00,"1,085",,,
PBD84,"1,086.00",-0.03,"1,108.00","1,086.00","1,100.00",80,,,
PBD85,"1,060.00",-1.85,"1,060.00","1,060.00","1,060.00",50,,,
PBD88,"1,120.00",1.27,"1,120.00","1,120.00","1,120.00",50,,,
PBLD84,"1,102.00",1.19,"1,102.00","1,101.00","1,101.00",50,,,
PBLD86,"1,131.00",0.35,"1,131.00","1,131.00","1,131.00",15,,,
PCBL,279.50,-0.32,281.00,278.50,280.00,"44,704",,,
PCBLP,110.00,-1.79,110.00,110.00,110.00,"7,942",,,
PFL,655.00,-0.29,668.60,648.80,668.60,"35,223",,,
PHCL,608.00,9.12,612.00,547.00,557.00,"422,588",,,
PMHPL,275.00,1.36,275.00,267.30,267.30,"12,325",,,
PMLI,572.80,-0.38,575.00,566.00,567.00,"3,758",,,
PPCL,264.50,-0.23,267.00,261.40,265.00,"12,038",,,
PPL,485.00,0.37,486.50,478.00,484.00,"6,592",,,
PRIN,"1,008.00",0.6,"1,010.00",995.10,"1,000.00","16,908",,,
PROFL,714.00,3.48,717.00,690.00,690.00,"83,454",,,
PRSF,9.87,1.02,10.05,9.81,9.96,"44,600",,,
PRVU,242.20,-1.54,245.00,241.20,245.00,"118,819",,,
